state_code,income_bucket,loan_purpose,median_loan_amount_male,median_loan_amount_female,median_interest_rate_male,median_interest_rate_female,approvals_male,approvals_female,loan_amount_gap_male_minus_female,interest_rate_gap_male_minus_female
PR,Middle,1,185000.0,165000.0,6.25,6.25,1799,858,20000.0,0.0
TX,Low,4,75000.0,75000.0,7.5,7.5,2339,2008,0.0,0.0
WI,Low,4,45000.0,35000.0,7.5,7.5,2455,2018,10000.0,0.0
OK,High,1,335000.0,315000.0,6.75,6.875,6122,2402,20000.0,-0.125
MO,Low,2,45000.0,45000.0,7.75,7.74,1146,1037,0.0,0.009999999999999787
TN,Middle,2,65000.0,65000.0,8.5,8.49,3594,1881,0.0,0.009999999999999787
LA,Middle,32,175000.0,155000.0,6.75,6.75,1389,624,20000.0,0.0
OK,Low,32,125000.0,115000.0,6.625,6.625,1139,915,10000.0,0.0
AK,Middle,4,65000.0,65000.0,8.29,9.4,155,88,0.0,-1.1100000000000012
AL,High,1,375000.0,345000.0,6.625,6.625,8996,3103,30000.0,0.0
NY,Low,31,85000.0,85000.0,6.99,6.99,1959,1779,0.0,0.0
AZ,Low,32,175000.0,165000.0,6.625,6.625,3252,2697,10000.0,0.0
KS,Low,1,135000.0,135000.0,6.75,6.75,5167,3680,0.0,0.0
NC,Middle,2,65000.0,65000.0,7.49,7.25,6732,4257,0.0,0.2400000000000002
TX,High,1,425000.0,395000.0,6.5,6.625,86136,33436,30000.0,-0.125
WA,High,1,605000.0,565000.0,6.625,6.74,24050,11184,40000.0,-0.11500000000000021
DC,High,2,205000.0,135000.0,8.25,7.99,291,159,70000.0,0.2599999999999998
DC,Middle,2,85000.0,105000.0,8.59,8.5,67,93,-20000.0,0.08999999999999986
NM,Low,1,175000.0,155000.0,6.625,6.625,3499,2829,20000.0,0.0
SC,Low,31,105000.0,105000.0,7.125,6.987500000000001,850,832,0.0,0.1374999999999993
GA,High,31,255000.0,245000.0,7.375,7.25,2431,768,10000.0,0.125
NC,Low,2,55000.0,45000.0,7.49,7.25,3102,3338,10000.0,0.2400000000000002
DE,Low,4,75000.0,55000.0,8.39,8.5,231,229,20000.0,-0.10999999999999943
NC,Low,31,95000.0,85000.0,7.1,6.875,2919,2811,10000.0,0.22499999999999964
SC,Middle,2,75000.0,75000.0,7.75,7.74,2175,1222,0.0,0.009999999999999787
VT,Middle,4,65000.0,65000.0,7.75,7.5,256,168,0.0,0.25
OR,Low,2,55000.0,55000.0,8.25,8.25,951,996,0.0,0.0
GA,High,2,105000.0,105000.0,8.25,8.25,4410,1749,0.0,0.0
AZ,High,32,255000.0,235000.0,7.625,7.625,2748,958,20000.0,0.0
NH,Middle,2,75000.0,75000.0,7.99,7.74,1171,719,0.0,0.25
MS,Low,31,55000.0,55000.0,8.0,7.955,1036,892,0.0,0.04499999999999993
OR,High,4,105000.0,95000.0,8.5,8.5,1961,1069,10000.0,0.0
ID,Middle,4,75000.0,65000.0,8.5,8.75,1071,455,10000.0,-0.25
CT,Middle,31,145000.0,135000.0,6.99,6.94,1085,733,10000.0,0.04999999999999982
MO,High,1,365000.0,345000.0,6.875,6.875,10103,4365,20000.0,0.0
CT,Middle,2,65000.0,65000.0,7.49,7.375,1541,1055,0.0,0.11500000000000021
NE,High,1,365000.0,345000.0,6.75,6.875,3326,1463,20000.0,-0.125
NH,High,4,125000.0,105000.0,8.0,7.99,809,352,20000.0,0.009999999999999787
TX,Middle,1,285000.0,285000.0,6.5,6.5,100193,53997,0.0,0.0
OR,Middle,32,265000.0,245000.0,6.875,6.99,1840,1051,20000.0,-0.11500000000000021
KS,High,4,75000.0,75000.0,8.235,8.0,788,307,0.0,0.23499999999999943
SD,Low,1,185000.0,175000.0,6.375,6.375,1403,922,10000.0,0.0
UT,Low,32,185000.0,155000.0,6.625,6.75,1008,762,30000.0,-0.125
WV,Low,1,135000.0,125000.0,6.625,6.5,3555,2555,10000.0,0.125
CA,Middle,32,245000.0,235000.0,6.999,6.999,13286,8433,10000.0,0.0
OR,Low,31,135000.0,125000.0,7.33,7.45,510,509,10000.0,-0.1200000000000001
NH,Middle,31,195000.0,165000.0,7.5,7.5,474,298,30000.0,0.0
MS,High,4,75000.0,85000.0,8.25,8.25,850,199,-10000.0,0.0
SC,Low,2,55000.0,55000.0,7.75,7.875,999,984,0.0,-0.125
HI,Middle,4,105000.0,105000.0,5.45,5.35,487,287,0.0,0.10000000000000053
KY,Middle,2,55000.0,55000.0,8.25,8.25,2179,1138,0.0,0.0
UT,Middle,1,395000.0,385000.0,6.5,6.625,13997,6543,10000.0,-0.125
PA,Middle,4,55000.0,55000.0,7.615,7.625,7525,3817,0.0,-0.009999999999999787
MD,Low,4,55000.0,55000.0,8.02,8.24,614,640,0.0,-0.22000000000000064
ME,High,2,105000.0,105000.0,7.75,7.75,827,451,0.0,0.0
MD,Middle,1,345000.0,335000.0,6.625,6.625,14407,11585,10000.0,0.0
SD,Middle,1,275000.0,265000.0,6.5,6.625,2408,1252,10000.0,-0.125
KY,Middle,31,105000.0,105000.0,7.72,7.71,1778,781,0.0,0.009999999999999787
DC,Middle,31,215000.0,185000.0,7.055,6.625,40,61,30000.0,0.4299999999999997
VT,Low,4,45000.0,45000.0,7.5,7.75,139,121,0.0,-0.25
CA,Low,2,65000.0,65000.0,7.99,7.99,2361,2569,0.0,0.0
WY,High,31,250000.0,255000.0,7.0,7.125,92,27,-5000.0,-0.125
WY,High,2,105000.0,95000.0,8.875,7.75,135,56,10000.0,1.125
NE,Low,31,75000.0,75000.0,7.45,7.295,291,244,0.0,0.15500000000000025
VI,Low,1,235000.0,135000.0,7.125,7.125,1,1,100000.0,0.0
AL,Low,1,165000.0,155000.0,6.75,6.75,11073,8867,10000.0,0.0
CA,Low,31,235000.0,235000.0,7.25,7.25,2074,2169,0.0,0.0
